Timestamp,What is the size of your business? , In which industry does your business operate?, How long has your business been operating?,Where is your business primarily located?,"Has your business adopted digital payment methods (e.g., mobile payments, e-wallets, online banking)?",What digital payment methods does your business currently accept? (Select all that apply),How often do customers use digital payments in your business?,Has your team received any formal training on digital payment systems?, [Using digital payments is easy for my business to manage.], [It is easy to train employees to use digital payment systems.], [Digital payments have the potential to improve my businessâ€™s efficiency.], [Using digital payments can enhance customer satisfaction.], [The cost of adopting digital payments is affordable for my business.], [Transaction fees for digital payments are reasonable for my business.], [I am concerned about the security risks associated with digital payments.], [My customers are concerned about the privacy of their information when using digital payments.], [I am aware of the regulatory requirements for using digital payments in Malaysia.], [Compliance with regulations is a significant factor in my decision to adopt digital payments.], [My business has the technical skills necessary to use digital payment systems.], [I am confident in troubleshooting issues that arise with digital payment systems.], [Adopting digital payments can help my business stay competitive.], [I feel pressured to adopt digital payments due to competition in the market.], [My customers frequently request digital payment options.], [Offering digital payments is important to meet customer expectations.], [Government incentives encourage my business to adopt digital payments.], [I am aware of the support programs available for digital payment adoption in Malaysia.], [My business location has reliable internet connectivity to support digital payments.], [The infrastructure available makes it easy to implement digital payment options in my business.],What challenges or concerns do you face regarding digital payment adoption?,What support would you find most helpful for digital payment adoption? [Government grants or financial subsidies],What support would you find most helpful for digital payment adoption? [Lower transaction fees or affordable pricing options],What support would you find most helpful for digital payment adoption? [Training for staff on digital payment systems],What support would you find most helpful for digital payment adoption? [Technical support for setting up and troubleshooting digital payments],What support would you find most helpful for digital payment adoption? [Information on security measures for safer digital transactions],What support would you find most helpful for digital payment adoption? [Clear guidelines on regulatory requirements],What support would you find most helpful for digital payment adoption? [Marketing support to increase customer awareness of digital payment options],Do you plan to fully adopt digital payments in the next 6-12 months?, [Row 17]
12/21/2024 9:46:04,Micro (1-5 employees),Food & Beverage,Less than 1 year,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,4,5,5,5,5,3,3,3,3,4,4,5,4,5,5,4,4,4,4,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 9:47:50,Micro (1-5 employees),Retail,1-3 years,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Frequently,"Yes, but informally (e.g., self-taught)",5,3,4,4,4,5,4,3,4,4,4,4,4,3,3,4,4,4,4,4,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 9:49:55,Small (6-50 employees),Food & Beverage,3-5 years,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,4,5,5,5,5,3,3,3,3,4,4,5,3,4,4,4,4,4,4,Difficulty in maintaining records or accounting with digital payments,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 11:54:26,Small (6-50 employees),Services,More than 5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,2,2,4,3,5,5,5,4,4,5,4,4,5,5,Difficulty in maintaining records or accounting with digital payments,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 11:56:49,Micro (1-5 employees),Retail,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,2,2,3,3,3,3,3,3,4,4,5,5,5,5,Initial setup and integration costs,5,5,4,5,4,5,4,"Yes, definitely",
12/21/2024 11:59:22,Micro (1-5 employees),Fashion & Accessories,Less than 1 year,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,1,1,2,2,3,3,5,4,5,5,4,4,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 12:45:17,Small (6-50 employees),Fashion & Accessories,More than 5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Credit/Debit cards",Sometimes,"Yes, but informally (e.g., self-taught)",4,5,4,4,4,5,4,4,3,3,4,3,5,3,4,5,5,5,5,5,"Security and privacy concerns, Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 12:58:44,Medium (51-200 employees),Services,More than 5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"Online bank transfers (e.g., FPX)",Sometimes,No training provided,4,3,4,4,3,4,4,4,3,3,4,3,4,4,4,4,3,3,4,3,"Security and privacy concerns, Limited technical knowledge or digital literacy among staff, Regulatory requirements or compliance issues",4,4,5,5,5,4,4,"Yes, definitely",
12/21/2024 13:10:08,Micro (1-5 employees),Fashion & Accessories,More than 5 years,"Rural area (e.g., Kamunting, Marang, etc.)",No,,,,3,2,3,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,"Lack of customer demand for digital payments, Security and privacy concerns, Initial setup and integration costs, Unreliable internet connectivity, Difficulty in maintaining records or accounting with digital payments",4,4,4,4,4,4,4,"Yes, possibly",
12/21/2024 13:13:37,Small (6-50 employees),Gift,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.)",Sometimes,"Yes, but informally (e.g., self-taught)",4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,5,4,5,"Security and privacy concerns, Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",4,4,4,4,5,5,5,"Yes, definitely",
12/21/2024 13:15:17,Medium (51-200 employees),Food & Beverage,3-5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.)",Sometimes,"Yes, but informally (e.g., self-taught)",4,5,4,4,5,4,4,5,4,4,5,4,5,4,4,5,4,4,4,4,"Security and privacy concerns, Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 13:29:05,Small (6-50 employees),Services,More than 5 years,"Rural area (e.g., Kamunting, Marang, etc.)",No,,,,4,3,4,3,4,4,5,5,3,3,3,4,4,4,4,4,4,5,4,5,"Lack of customer demand for digital payments, Security and privacy concerns, Limited technical knowledge or digital literacy among staff",4,5,5,4,5,4,5,"Yes, possibly",
12/21/2024 13:30:49,Small (6-50 employees),Retail,More than 5 years,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.)",Sometimes,No training provided,4,3,4,4,4,4,5,5,3,3,3,4,4,4,4,4,3,4,4,3,"Lack of customer demand for digital payments, Security and privacy concerns, Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 13:32:16,Micro (1-5 employees),Food & Beverage,More than 5 years,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.)",Sometimes,No training provided,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Lack of customer demand for digital payments, Security and privacy concerns, Limited technical knowledge or digital literacy among staff, Regulatory requirements or compliance issues, Difficulty in maintaining records or accounting with digital payments",4,5,4,5,4,5,4,"Yes, definitely",
12/21/2024 13:34:07,Micro (1-5 employees),Services,More than 5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"Online bank transfers (e.g., FPX)",Sometimes,"Yes, but informally (e.g., self-taught)",4,3,4,4,3,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,"Lack of customer demand for digital payments, Security and privacy concerns, Limited technical knowledge or digital literacy among staff, Regulatory requirements or compliance issues",5,4,5,4,5,4,5,"Yes, possibly",
12/21/2024 18:54:54,Micro (1-5 employees),Retail,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,1,1,2,2,4,4,4,4,4,4,4,4,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 18:55:05,Micro (1-5 employees),Food & Beverage,3-5 years,"Rural area (e.g., Kamunting, Marang, etc.)",No,,,,3,2,4,4,4,4,4,4,4,5,3,1,3,3,2,3,4,3,3,3,"Lack of customer demand for digital payments, Security and privacy concerns, Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"No, unlikely",
12/21/2024 19:02:04,Small (6-50 employees),Food & Beverage,Less than 1 year,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,5,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:06:58,Small (6-50 employees),Fashion & Accessories,1-3 years,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,4,5,5,5,5,4,2,4,4,5,4,5,4,4,5,5,5,5,5,Limited technical knowledge or digital literacy among staff,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:09:08,Small (6-50 employees),Food & Beverage,3-5 years,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,2,4,5,5,5,5,1,3,3,3,3,5,5,5,5,4,4,5,5,Limited technical knowledge or digital literacy among staff,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:11:46,Small (6-50 employees),Food & Beverage,Less than 1 year,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,1,1,2,2,3,3,5,4,5,5,4,4,5,3,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:14:32,Small (6-50 employees),Fashion & Accessories,3-5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,4,5,5,4,4,1,1,1,1,4,4,5,4,5,5,4,4,4,4,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:16:25,Small (6-50 employees),Food & Beverage,3-5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,2,2,2,2,4,4,5,5,5,5,5,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:27:45,Small (6-50 employees),Retail,More than 5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,3,3,4,4,4,4,4,4,4,4,5,5,5,5,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:33:08,Micro (1-5 employees),Retail,1-3 years,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,3,3,3,4,4,4,4,4,5,5,5,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:39:36,Micro (1-5 employees),Retail,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,3,3,3,3,4,4,4,4,5,5,5,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:42:56,Small (6-50 employees),Food & Beverage,More than 5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,2,2,2,2,4,4,4,4,5,5,3,3,4,4,"Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:44:44,Micro (1-5 employees),Fashion & Accessories,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,1,1,1,5,4,4,5,5,5,5,5,5,5,5,Limited technical knowledge or digital literacy among staff,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:48:18,Small (6-50 employees),Food & Beverage,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",5,4,5,5,4,5,2,2,2,2,3,3,3,3,4,4,4,4,4,4,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:53:13,Micro (1-5 employees),Fashion & Accessories,Less than 1 year,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,2,2,2,2,3,3,3,4,5,5,5,5,5,5,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:54:24,Micro (1-5 employees),Food & Beverage,3-5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,1,1,1,1,5,4,5,5,5,5,5,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 19:58:10,Micro (1-5 employees),Food & Beverage,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,2,2,2,2,4,4,5,5,5,5,5,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:05:16,Micro (1-5 employees),Retail,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,2,2,2,2,3,3,4,4,4,5,4,4,5,4,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:08:25,Micro (1-5 employees),Retail,Less than 1 year,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,3,3,3,3,4,4,5,5,5,5,5,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:10:13,Micro (1-5 employees),Retail,Less than 1 year,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,4,5,2,2,4,4,4,4,5,5,5,5,4,4,5,5,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:12:37,Small (6-50 employees),Fashion & Accessories,1-3 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,4,4,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:14:12,Medium (51-200 employees),Retail,More than 5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, formal training was provided",5,3,5,5,5,5,2,2,5,5,5,5,5,5,5,5,4,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:17:33,Small (6-50 employees),Food & Beverage,1-3 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,1,1,1,1,3,3,4,4,5,5,5,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:26:45,Micro (1-5 employees),Retail,Less than 1 year,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,3,3,3,3,4,4,4,5,5,5,5,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:28:39,Small (6-50 employees),Food & Beverage,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,2,2,2,2,5,3,5,5,5,5,5,5,5,5,Initial setup and integration costs,5,5,5,4,5,5,5,"Yes, definitely",
12/21/2024 21:34:29,Small (6-50 employees),Food & Beverage,3-5 years,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,3,5,5,5,5,2,2,2,2,3,3,4,3,4,4,5,5,5,5,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:36:11,Micro (1-5 employees),Retail,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"Online bank transfers (e.g., FPX)",Frequently,No training provided,5,2,5,5,5,5,1,1,2,1,3,2,3,3,3,3,5,5,5,5,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:39:39,Small (6-50 employees),Retail,Less than 1 year,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,2,2,2,2,5,3,5,5,5,5,4,4,4,4,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:43:47,Small (6-50 employees),Food & Beverage,More than 5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Credit/Debit cards",Frequently,"Yes, but informally (e.g., self-taught)",5,3,5,5,5,5,1,1,1,1,3,2,5,4,5,5,5,5,5,5,"Lack of customer demand for digital payments, Initial setup and integration costs, Limited technical knowledge or digital literacy among staff, Difficulty in maintaining records or accounting with digital payments",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:46:36,Micro (1-5 employees),Services,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,1,1,1,1,4,4,4,3,3,3,5,5,5,5,Lack of customer demand for digital payments,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:49:51,Micro (1-5 employees),Food & Beverage,Less than 1 year,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,No training provided,5,5,5,5,5,5,3,3,3,3,4,4,5,5,5,5,5,5,5,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:52:41,Small (6-50 employees),Food & Beverage,3-5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Frequently,"Yes, but informally (e.g., self-taught)",5,4,5,5,5,5,2,2,2,2,2,3,3,3,3,3,4,4,5,5,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 21:57:09,Micro (1-5 employees),Fashion & Accessories,Less than 1 year,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"Online bank transfers (e.g., FPX)",Sometimes,No training provided,4,4,4,4,3,4,1,1,1,1,1,1,3,3,3,3,3,4,4,4,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff, Regulatory requirements or compliance issues",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 22:06:43,Micro (1-5 employees),Retail,More than 5 years,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,No training provided,5,3,5,5,4,5,3,3,3,3,3,3,5,5,5,5,4,4,5,5,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 22:08:19,Small (6-50 employees),Retail,1-3 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,No training provided,5,5,5,5,5,5,2,2,2,2,2,3,3,3,3,3,4,4,4,4,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff",5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 22:10:29,Small (6-50 employees),Food & Beverage,3-5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,1,1,1,1,2,2,5,3,4,4,3,4,4,5,Initial setup and integration costs,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 22:13:45,Micro (1-5 employees),Food & Beverage,3-5 years,"Rural area (e.g., Kamunting, Marang, etc.)",No,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,"Lack of customer demand for digital payments, Initial setup and integration costs, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity, Regulatory requirements or compliance issues",5,4,5,5,5,5,5,"Yes, possibly",
12/21/2024 22:18:24,Micro (1-5 employees),Retail,1-3 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,No training provided,5,3,5,5,5,5,1,1,1,1,3,3,3,3,3,3,5,5,5,5,Limited technical knowledge or digital literacy among staff,5,5,5,5,5,5,5,"Yes, definitely",
12/21/2024 22:22:04,Small (6-50 employees),Services,3-5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,No training provided,5,5,4,5,5,4,2,2,3,3,3,3,4,3,5,5,4,4,5,4,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity",5,5,5,5,5,5,5,"Yes, definitely",
